instant,temperature_a,temperature_b,temperature_c
2015-11-13T06:10:19Z,116.324,91.742,84.155
2015-11-13T06:10:23Z,116.324,91.742,84.155
2015-11-13T06:10:27Z,116.264,91.615,84.155
2015-11-13T06:10:31Z,116.264,91.742,84.155
2015-11-13T06:10:36Z,116.113,91.742,84.155
2015-11-13T06:10:41Z,115.901,91.615,84.155
2015-11-13T06:10:46Z,115.901,91.539,84.155
2015-11-13T06:10:51Z,115.75,91.539,84.155
2015-11-13T06:10:56Z,115.598,91.513,84.155
2015-11-13T06:11:01Z,115.446,91.488,84.173
2015-11-13T06:11:07Z,115.446,91.488,84.173
2015-11-13T06:11:12Z,115.324,91.564,84.173
2015-11-13T06:11:17Z,115.324,91.513,84.173
2015-11-13T06:11:22Z,115.232,91.513,84.191
2015-11-13T06:11:27Z,115.171,91.564,84.191
2015-11-13T06:11:31Z,115.171,91.564,84.173
2015-11-13T06:11:36Z,115.049,91.513,84.173
2015-11-13T06:11:41Z,115.049,91.539,84.173
2015-11-13T06:11:46Z,114.896,91.539,84.146
2015-11-13T06:11:51Z,114.596,91.513,84.146
2015-11-13T06:11:56Z,114.596,91.411,84.137
2015-11-13T06:12:01Z,114.122,91.411,84.119
2015-11-13T06:12:06Z,113.674,91.338,84.119
2015-11-13T06:12:11Z,113.674,91.338,84.1
2015-11-13T06:12:17Z,113.284,91.313,84.1
2015-11-13T06:12:21Z,112.926,91.264,84.1
2015-11-13T06:12:27Z,112.926,91.264,84.091
2015-11-13T06:12:31Z,112.606,91.166,84.091
2015-11-13T06:12:36Z,112.606,91.19,84.082
2015-11-13T06:12:41Z,112.343,91.19,84.073
2015-11-13T06:12:46Z,112.138,91.043,84.073
2015-11-13T06:12:51Z,112.138,90.944,84.046
2015-11-13T06:12:56Z,111.903,90.944,84.01
2015-11-13T06:13:01Z,111.638,90.919,84.01
2015-11-13T06:13:07Z,111.638,90.919,83.992
2015-11-13T06:13:11Z,111.432,90.87,83.983
2015-11-13T06:13:16Z,111.254,90.796,83.983
2015-11-13T06:13:21Z,111.254,90.796,83.974
2015-11-13T06:13:26Z,111.081,90.721,83.974
2015-11-13T06:13:31Z,110.909,90.597,83.974
2015-11-13T06:13:36Z,110.909,90.597,83.946
2015-11-13T06:13:41Z,110.737,90.523,83.946
2015-11-13T06:13:46Z,110.737,90.448,83.901
2015-11-13T06:13:51Z,110.565,90.448,83.883
2015-11-13T06:13:56Z,110.421,90.448,83.883
